Rank,State/Territory,Y2010,Y2019[Estimated],Percent
1, California,"39,512,223","37,253,956",11.91%
2, Texas,"28,995,881","25,145,561",8.74%
4, Florida,"21,477,737","18,801,310",6.47%
3, New York,"19,453,561","19,378,102",5.86%
6, Pennsylvania,"12,801,989","12,702,379",3.86%
5, Illinois,"12,671,821","12,830,632",3.82%
7, Ohio,"11,689,100","11,536,504",3.52%
9, Georgia,"10,617,423","9,687,653",3.20%
10, North Carolina,"10,488,084","9,535,483",3.16%
8, Michigan,"9,986,857","9,883,640",3.01%
11, New Jersey,"8,882,190","8,791,894",2.68%
12, Virginia,"8,535,519","8,001,024",2.57%
13, Washington,"7,614,893","6,724,540",2.29%
16, Arizona,"7,278,717","6,392,017",2.19%
14, Massachusetts,"6,892,503","6,547,629",2.09%
17, Tennessee,"6,829,174","6,346,105",2.06%
15, Indiana,"6,732,219","6,483,802",2.03%
18, Missouri,"6,137,428","5,988,927",1.85%
19, Maryland,"6,045,680","5,773,552",1.82%
20, Wisconsin,"5,822,434","5,686,986",1.75%
22, Colorado,"5,758,736","5,029,196",1.74%
21, Minnesota,"5,639,632","5,303,925",1.70%
24, South Carolina,"5,148,714","4,625,364",1.55%
23, Alabama,"4,903,185","4,779,736",1.48%
25, Louisiana,"4,648,794","4,533,372",1.40%
26, Kentucky,"4,467,673","4,339,367",1.35%
27, Oregon,"4,217,737","3,831,074",1.27%
28, Oklahoma,"3,956,971","3,751,351",1.19%
30, Connecticut,"3,565,287","3,574,097",1.07%
35, Utah,"3,205,958","2,763,885",0.97%
29, Puerto Rico,"3,193,694","3,725,789",0.96%
31, Iowa,"3,155,070","3,046,355",0.95%
36, Nevada,"3,080,156","2,700,551",0.93%
33, Arkansas,"3,017,804","2,915,918",0.91%
32, Mississippi,"2,976,149","2,967,297",0.90%
34, Kansas,"2,913,314","2,853,118",0.88%
37, New Mexico,"2,096,829","2,059,179",0.63%
39, Nebraska,"1,934,408","1,826,341",0.58%
38, West Virginia,"1,792,147","1,852,994",0.54%
40, Idaho,"1,787,065","1,567,582",0.54%
41, Hawaii,"1,415,872","1,360,301",0.43%
43, New Hampshire,"1,359,711","1,316,470",0.41%
42, Maine,"1,344,212","1,328,361",0.41%
45, Montana,"1,068,778","989,415",0.32%
44, Rhode Island,"1,059,361","1,052,567",0.32%
46, Delaware,"973,764","897,934",0.29%
47, South Dakota,"884,659","814,180",0.27%
49, North Dakota,"762,062","672,591",0.23%
48, Alaska,"731,545","710,231",0.22%
51, District of Columbia,"705,749","601,723",0.21%
50, Vermont,"623,989","625,741",0.19%
52, Wyoming,"578,759","563,626",0.17%
53, Guam,"168,485","159,358",0.05%
54, U.S. Virgin Islands,"106,235","106,405",0.03%
56, Northern Mariana Islands,"51,433","53,883",0.02%
55, American Samoa,"49,437","55,519",0.02%
